,route,airline,model_session_label,departure_period,prior_anchor_source,query_dud,flight_day_of_week,flight_month,is_peak_period,departure_time_sin,departure_time_cos,prior_anchor_log,prior_anchor_support_log1p,prior_anchor_age_hours,prior_market_change_pct_per_day,has_prior_market_change,prior_competitor_airline_count,prior_competitor_offer_count,prior_route_min_log_price,prior_route_price_spread_log1p,history_support_count,is_first_observation,previous_relative_log,relative_lag_age_hours,prior_relative_volatility,prior_relative_trend_per_dud_day,has_previous_same_schedule,has_prior_relative_volatility,has_prior_relative_trend,template_history_support_count,template_previous_relative_log,template_lag_age_hours,template_prior_relative_volatility,template_prior_relative_trend_per_dud_day,has_previous_schedule_template,has_template_relative_volatility,has_template_relative_trend
history_support_count,0.0422848231376538,0.05495725079786725,0.010313211531989261,0.026787084533677306,0.0,0.7926822628561059,0.014385756011048481,0.061476921677249864,0.057891945338608676,0.000323129279560946,0.005413519127590264,0.0647416520894681,0.019625733030565747,0.38444414524215587,0.004816935530343189,0.12088187291434037,0.1448588335762795,0.033553881677174976,0.1543445019855224,0.3188950626119921,1.0,0.5817738552999683,0.009088021386415296,0.5041186089577445,0.439436613562985,0.06123549663147631,0.5817738552999683,0.7598351687854525,0.7735600166744246,0.4778116956160805,0.0060147466082509675,0.39147110706100574,0.14496326973882365,0.0449209080888891,0.0,0.144511217914026,0.20323786398292004
is_first_observation,0.015973904868051378,0.021865727525878835,0.09285015753824571,0.012691414010090472,0.0,0.4480192905624734,0.0016696919258652352,0.08917289746085814,0.01065011008441405,0.0011639320192394626,0.006069767775502845,0.007997375671424875,0.0074901586453764825,0.2243768023807636,0.012134251920122985,0.16815750224411877,0.07782035805327339,0.01748206322638358,0.06264814807828568,0.17579979733129317,0.5817738552999683,1.0,0.0,0.0,0.0,0.0,1.0,0.6528228011887488,0.6147436876881867,0.2787551543657685,0.002547823841798098,0.23319343860515396,0.07670311333526457,0.004631072804419262,0.0,0.1872414630194039,0.25124292883182503
previous_relative_log,0.08192200106779957,0.5176337444576579,0.003979287722723426,0.2439910080348971,0.0,0.005322170258576654,0.005881906890154946,0.01802834193183042,0.000657735025634625,0.06365881819853,0.3111441553005763,0.3576083014932636,0.07606728188717964,0.011379691624232253,0.02132046731944596,0.0017045331632044595,0.005828445047588,0.016491794238254635,0.030760479570037115,0.0006969230050618717,0.009088021386415296,0.0,1.0,0.014221079467542096,0.0475259933644033,0.4567462503501162,0.0,0.010716590351092294,0.012810071812345869,0.12006111000455699,0.7863090490608058,0.010223540575758073,0.13026587540884718,0.12597255654550943,0.0,0.0017890288319808423,0.019248664030577872
relative_lag_age_hours,0.027034744419504795,0.017328539785790482,0.2898291156158776,0.01703279626064923,0.0,0.3406368675109433,0.01458227548586367,0.18562369726359929,0.09300855018622925,0.006574509323626048,0.0306965831208451,0.08926956872946087,0.0035425563147999783,0.6041167683663652,0.040381127059453764,0.01099074322894254,0.026431751431605772,0.009216063515203366,0.1245505897436116,0.13389632319341727,0.5041186089577445,0.0,0.014221079467542096,1.0,0.2655514396372018,0.04546851823749122,0.0,0.23158108837054192,0.30391281087510025,0.24991076377793595,0.009067423860672014,0.6088783808823737,0.12304610458518071,0.05342667934278898,0.0,0.014605146347129219,0.0018241465891867378
prior_relative_volatility,0.29524208578086153,0.17896424475558573,0.03458764575204497,0.035173184974805205,0.0,0.320255547956854,0.0034044720249730583,0.03424295194302804,0.03455688082522066,0.0004387319254477392,0.010144426702551154,0.08371619967524256,0.1646158891696435,0.10591825465558112,0.007069706966154285,0.005353562546086372,0.0009359509405738262,0.12342107563222066,0.12120226735857403,0.18871953352330925,0.439436613562985,0.0,0.0475259933644033,0.2655514396372018,1.0,0.04918227444247778,0.0,0.0,0.2550054058864047,0.1388904565024842,0.09351190026180944,0.11045530762528613,0.35991040347793013,0.004353568570299164,0.0,0.0,0.03230681826725474
prior_relative_trend_per_dud_day,0.0380709353382811,0.03850624470933138,0.007435798856228645,0.05578664466514078,0.0,0.009438062419149885,0.0033501108688960357,0.06854443692308437,0.014326786770704278,0.03814832672257783,0.12990138603797696,0.06791671840222765,0.00795724851481241,0.07353191178421402,0.023774238676406018,0.00866960715903074,0.01715809708637805,0.002869676616091865,0.03512622716752723,0.01842766545666977,0.06123549663147631,0.0,0.4567462503501162,0.04546851823749122,0.04918227444247778,1.0,0.0,0.0,0.0,0.11420094872083739,0.24128890513527443,0.07481090827536381,0.04008918112565053,0.25721745121541434,0.0,0.0,0.004946623223188861
has_previous_same_schedule,0.015973904868051357,0.021865727525878793,0.09285015753824573,0.012691414010090437,0.0,0.4480192905624734,0.0016696919258652352,0.08917289746085814,0.01065011008441405,0.0011639320192394626,0.006069767775502845,0.007997375671424875,0.0074901586453764825,0.2243768023807636,0.012134251920122985,0.16815750224411877,0.07782035805327339,0.01748206322638358,0.06264814807828568,0.17579979733129317,0.5817738552999683,1.0,0.0,0.0,0.0,0.0,1.0,0.6528228011887488,0.6147436876881867,0.2787551543657685,0.002547823841798098,0.23319343860515396,0.07670311333526457,0.004631072804419262,0.0,0.1872414630194039,0.25124292883182503
has_prior_relative_volatility,0.021250987290063493,0.024320156118891132,0.015539998104219974,0.019089833347421176,0.0,0.595249161952303,0.005698426312226307,0.11140033392617564,0.01434015097007639,0.0006116687666153292,0.006415541228820778,0.027940902004868273,0.014522247170847474,0.2628307161648396,0.00947623761643534,0.14128254101342522,0.12780757180630406,0.021959885516526903,0.09887744865463492,0.22569414180450303,0.7598351687854525,0.6528228011887488,0.010716590351092294,0.23158108837054192,0.0,0.0,0.6528228011887488,1.0,0.9416700620563995,0.35808435451309406,0.00320458260520054,0.26708351693487925,0.09875707753736701,0.016711448410657286,0.0,0.17595478668410883,0.23287932358353705
has_prior_relative_trend,0.023149261197746424,0.021097464573757854,0.0405872174308504,0.022179024623977344,0.0,0.6286252053921945,0.0061562388563731,0.17623081667463641,0.0029652955849376484,0.0014022930181339837,0.01124992589404728,0.004776942588147072,0.021207656985412885,0.23144256696062462,0.012772645842686786,0.1328437409489925,0.14601608757993362,0.028644560349453004,0.06955137918373583,0.22444919423992965,0.7735600166744246,0.6147436876881867,0.012810071812345869,0.30391281087510025,0.2550054058864047,0.0,0.6147436876881867,0.9416700620563995,1.0,0.3208045387370259,0.0028990024440115505,0.23846182982900016,0.07651948659180034,0.010037959915191342,0.0,0.16569135489080947,0.22251300386135855
template_history_support_count,0.10467523009756413,0.1572535005773559,0.0873404731714491,0.09973296483941274,0.0,0.05764978341120591,0.0037137974060589816,0.5185365550589209,0.16780123614381207,0.020295901373765777,0.08120233194998754,0.13231436075906233,0.11281404467769647,0.5156766390334411,0.0031704832193299583,0.14743503458691373,0.02986113648985902,0.10766134016313779,0.21458438513658792,0.10032072279912665,0.4778116956160805,0.2787551543657685,0.12006111000455699,0.24991076377793595,0.1388904565024842,0.11420094872083739,0.2787551543657685,0.35808435451309406,0.3208045387370259,1.0,0.12057575402884212,0.5393452074403035,0.03995195379439987,0.1015649616332002,0.0,0.1744105308589014,0.2459597945608809
template_previous_relative_log,0.09736202530152896,0.6001648779271587,0.00860021581222924,0.2905290149546706,0.0,0.002062132588096962,0.0063261270786278065,0.0062060709644164306,0.022657419263730705,0.07406357493419519,0.35924746023519866,0.3825530879788081,0.08205073371602521,0.019047996478243685,0.013261674043501565,0.00529722813538067,0.02030701857879624,0.006492326001615122,0.042904891833565724,0.010382605657860443,0.0060147466082509675,0.002547823841798098,0.7863090490608058,0.009067423860672014,0.09351190026180944,0.24128890513527443,0.002547823841798098,0.00320458260520054,0.0028990024440115505,0.12057575402884212,1.0,0.016490641934078423,0.1490366667558794,0.16025798769466193,0.0,0.007242516851250423,0.018368215186399438
template_lag_age_hours,0.020440956872191128,0.03537354509841862,0.025796259623424897,0.009239205104948715,0.0,0.029669030254673354,0.008159348934955972,0.5469421460421692,0.22124622668050645,0.0018409812155925382,0.05414408301525612,0.1768740742688413,0.061820819564707225,0.9723058585859977,0.030175305545812204,0.06463908471441308,0.06861849419655743,0.07962109710175523,0.2199533513272297,0.08275396540587367,0.39147110706100574,0.23319343860515396,0.010223540575758073,0.6088783808823737,0.11045530762528613,0.07481090827536381,0.23319343860515396,0.26708351693487925,0.23846182982900016,0.5393452074403035,0.016490641934078423,1.0,0.22594802126009172,0.09460040495279852,0.0,0.08088189762005046,0.15068461592936908
template_prior_relative_volatility,0.4845893919764641,0.260483222417958,0.04189264885458187,0.06281226340724305,0.0,0.003975718378854522,0.004561038515456179,0.2585695140038182,0.06695713879847863,0.0049352107661429015,0.04432966887224477,0.2471441722036181,0.2745775123542279,0.23788156269528288,0.006165426408869185,0.0010089593628250574,0.16409876316014754,0.24983408333647203,0.2796312897790672,0.1089234765545339,0.14496326973882365,0.07670311333526457,0.13026587540884718,0.12304610458518071,0.35991040347793013,0.04008918112565053,0.07670311333526457,0.09875707753736701,0.07651948659180034,0.03995195379439987,0.1490366667558794,0.22594802126009172,1.0,0.015418265827946016,0.0,0.0,0.10927881436165447
template_prior_relative_trend_per_dud_day,0.05128641082743908,0.028351445422785455,0.013430618992540286,0.026568417929377156,0.0,0.009722641723321048,0.005770203735354688,0.09349710698066171,0.03781060489299644,0.04355015944892143,0.05158084494804912,0.004334418394632863,0.041566139753507585,0.09695370322621603,0.000298377471449475,0.007122025222350158,0.0822222665464763,0.05909297335089306,0.0566805347401117,0.007147146812541206,0.0449209080888891,0.004631072804419262,0.12597255654550943,0.05342667934278898,0.004353568570299164,0.25721745121541434,0.004631072804419262,0.016711448410657286,0.010037959915191342,0.1015649616332002,0.16025798769466193,0.09460040495279852,0.015418265827946016,1.0,0.0,0.0,0.0
has_previous_schedule_template,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
has_template_relative_volatility,0.015241289560889786,0.03206848027904777,0.07290939641611363,0.004734813349224789,0.0,0.006964652752597128,0.02222679832010564,0.12261659896177958,0.004880634731381866,0.0023364470488013113,0.0060306498479894355,0.0025256954865851807,0.019583962298765075,0.06787498062583716,0.0025965184047234027,0.7889652608975782,0.004114795081226097,0.019075543198492015,0.003935818974607841,0.023354685445991605,0.144511217914026,0.1872414630194039,0.0017890288319808423,0.014605146347129219,0.0,0.0,0.1872414630194039,0.17595478668410883,0.16569135489080947,0.1744105308589014,0.007242516851250423,0.08088189762005046,0.0,0.0,0.0,1.0,0.6676772819562856
has_template_relative_trend,0.03320956296707778,0.028080849999440733,0.010874598536423932,0.01741713643844802,0.0,0.019005707090641057,0.007594753756626775,0.1583452315980104,0.003856097397762114,0.001688549269189845,0.011228599421811319,0.01614200527805197,0.009194319620528498,0.1348866539908328,0.006110029724247002,0.530847558505664,0.0023305031343073277,0.010311543170073099,0.019212355436180786,0.027233589305805467,0.20323786398292004,0.25124292883182503,0.019248664030577872,0.0018241465891867378,0.03230681826725474,0.004946623223188861,0.25124292883182503,0.23287932358353705,0.22251300386135855,0.2459597945608809,0.018368215186399438,0.15068461592936908,0.10927881436165447,0.0,0.0,0.6676772819562856,1.0
